ID,x,y,pop_sum,pop_mean,water_mean
125750,180,-90,0,0,0
125749,179.28,-90,0,0,0
125748,178.56,-90,0,0,0
125747,177.84,-90,0,0,0
125746,177.12,-90,0,0,0
125745,176.4,-90,0,0,0
125744,175.68,-90,0,0,0
125743,174.96,-90,0,0,0
125742,174.24,-90,0,0,0
125741,173.52,-90,0,0,0
125740,172.8,-90,0,0,0
125739,172.08,-90,0,0,0
125738,171.36,-90,0,0,0
125737,170.64,-90,0,0,0
125736,169.92,-90,0,0,0
125735,169.2,-90,0,0,0
125734,168.48,-90,0,0,0
125733,167.76,-90,0,0,0
125732,167.04,-90,0,0,0
125731,166.32,-90,0,0,0
125730,165.6,-90,0,0,0
125729,164.88,-90,0,0,0
125728,164.16,-90,0,0,0
125727,163.44,-90,0,0,0
125726,162.72,-90,0,0,0
125725,162,-90,0,0,0
125724,161.28,-90,0,0,0
125723,160.56,-90,0,0,0
125722,159.84,-90,0,0,0
125721,159.12,-90,0,0,0
125720,158.4,-90,0,0,0
125719,157.68,-90,0,0,0
125718,156.96,-90,0,0,0
125717,156.24,-90,0,0,0
125716,155.52,-90,0,0,0
125715,154.8,-90,0,0,0
125714,154.08,-90,0,0,0
125713,153.36,-90,0,0,0
125712,152.64,-90,0,0,0
125711,151.92,-90,0,0,0
125710,151.2,-90,0,0,0
125709,150.48,-90,0,0,0
125708,149.76,-90,0,0,0
125707,149.04,-90,0,0,0
125706,148.32,-90,0,0,0
125705,147.6,-90,0,0,0
125704,146.88,-90,0,0,0
125703,146.16,-90,0,0,0
125702,145.44,-90,0,0,0
125701,144.72,-90,0,0,0
125700,144,-90,0,0,0
125699,143.28,-90,0,0,0
125698,142.56,-90,0,0,0
125697,141.84,-90,0,0,0
125696,141.12,-90,0,0,0
125695,140.4,-90,0,0,0
125694,139.68,-90,0,0,0
125693,138.96,-90,0,0,0
125692,138.24,-90,0,0,0
125691,137.52,-90,0,0,0
125690,136.8,-90,0,0,0
125689,136.08,-90,0,0,0
125688,135.36,-90,0,0,0
125687,134.64,-90,0,0,0
125686,133.92,-90,0,0,0
125685,133.2,-90,0,0,0
125684,132.48,-90,0,0,0
125683,131.76,-90,0,0,0
125682,131.04,-90,0,0,0
125681,130.32,-90,0,0,0
125680,129.6,-90,0,0,0
125679,128.88,-90,0,0,0
125678,128.16,-90,0,0,0
125677,127.44,-90,0,0,0
125676,126.72,-90,0,0,0
125675,126,-90,0,0,0
125674,125.28,-90,0,0,0
125673,124.56,-90,0,0,0
125672,123.84,-90,0,0,0
125671,123.12,-90,0,0,0
125670,122.4,-90,0,0,0
125669,121.68,-90,0,0,0
125668,120.96,-90,0,0,0
125667,120.24,-90,0,0,0
125666,119.52,-90,0,0,0
125665,118.8,-90,0,0,0
125664,118.08,-90,0,0,0
125663,117.36,-90,0,0,0
125662,116.64,-90,0,0,0
125661,115.92,-90,0,0,0
125660,115.2,-90,0,0,0
125659,114.48,-90,0,0,0
125658,113.76,-90,0,0,0
125657,113.04,-90,0,0,0
125656,112.32,-90,0,0,0
125655,111.6,-90,0,0,0
125654,110.88,-90,0,0,0
125653,110.16,-90,0,0,0
125652,109.44,-90,0,0,0
125651,108.72,-90,0,0,0
125650,108,-90,0,0,0
125649,107.28,-90,0,0,0
125648,106.56,-90,0,0,0
125647,105.84,-90,0,0,0
125646,105.12,-90,0,0,0
125645,104.4,-90,0,0,0
125644,103.68,-90,0,0,0
125643,102.96,-90,0,0,0
125642,102.24,-90,0,0,0
125641,101.52,-90,0,0,0
125640,100.8,-90,0,0,0
125639,100.08,-90,0,0,0
125638,99.36,-90,0,0,0
125637,98.64,-90,0,0,0
125636,97.92,-90,0,0,0
125635,97.2,-90,0,0,0
125634,96.48,-90,0,0,0
125633,95.76,-90,0,0,0
125632,95.04,-90,0,0,0
125631,94.32,-90,0,0,0
125630,93.6,-90,0,0,0
125629,92.88,-90,0,0,0
125628,92.16,-90,0,0,0
125627,91.44,-90,0,0,0
125626,90.72,-90,0,0,0
125625,90,-90,0,0,0
125624,89.28,-90,0,0,0
125623,88.56,-90,0,0,0
125622,87.84,-90,0,0,0
125621,87.12,-90,0,0,0
125620,86.4,-90,0,0,0
125619,85.68,-90,0,0,0
125618,84.96,-90,0,0,0
125617,84.24,-90,0,0,0
125616,83.52,-90,0,0,0
125615,82.8,-90,0,0,0
125614,82.08,-90,0,0,0
125613,81.36,-90,0,0,0
125612,80.64,-90,0,0,0
125611,79.92,-90,0,0,0
125610,79.2,-90,0,0,0
125609,78.48,-90,0,0,0
125608,77.76,-90,0,0,0
125607,77.04,-90,0,0,0
125606,76.32,-90,0,0,0
125605,75.6,-90,0,0,0
125604,74.88,-90,0,0,0
125603,74.16,-90,0,0,0
125602,73.44,-90,0,0,0
125601,72.72,-90,0,0,0
125600,72,-90,0,0,0
125599,71.28,-90,0,0,0
125598,70.56,-90,0,0,0
125597,69.84,-90,0,0,0
125596,69.12,-90,0,0,0
125595,68.4,-90,0,0,0
125594,67.68,-90,0,0,0
125593,66.96,-90,0,0,0
125592,66.24,-90,0,0,0
125591,65.52,-90,0,0,0
125590,64.8,-90,0,0,0
125589,64.08,-90,0,0,0
125588,63.36,-90,0,0,0
125587,62.64,-90,0,0,0
125586,61.92,-90,0,0,0
125585,61.2,-90,0,0,0
125584,60.48,-90,0,0,0
125583,59.76,-90,0,0,0
125582,59.04,-90,0,0,0
125581,58.32,-90,0,0,0
125580,57.6,-90,0,0,0
125579,56.88,-90,0,0,0
125578,56.16,-90,0,0,0
125577,55.44,-90,0,0,0
125576,54.72,-90,0,0,0
125575,54,-90,0,0,0
125574,53.28,-90,0,0,0
125573,52.56,-90,0,0,0
125572,51.84,-90,0,0,0
125571,51.12,-90,0,0,0
125570,50.4,-90,0,0,0
125569,49.68,-90,0,0,0
125568,48.96,-90,0,0,0
125567,48.24,-90,0,0,0
125566,47.52,-90,0,0,0
125565,46.8,-90,0,0,0
125564,46.08,-90,0,0,0
125563,45.36,-90,0,0,0
125562,44.64,-90,0,0,0
125561,43.92,-90,0,0,0
125560,43.2,-90,0,0,0
125559,42.48,-90,0,0,0
125558,41.76,-90,0,0,0
125557,41.04,-90,0,0,0
125556,40.32,-90,0,0,0
125555,39.6,-90,0,0,0
125554,38.88,-90,0,0,0
125553,38.16,-90,0,0,0
125552,37.44,-90,0,0,0
125551,36.72,-90,0,0,0
125550,36,-90,0,0,0
125549,35.28,-90,0,0,0
125548,34.56,-90,0,0,0
125547,33.84,-90,0,0,0
125546,33.12,-90,0,0,0
125545,32.4,-90,0,0,0
125544,31.68,-90,0,0,0
125543,30.96,-90,0,0,0
125542,30.24,-90,0,0,0
125541,29.52,-90,0,0,0
125540,28.8,-90,0,0,0
125539,28.08,-90,0,0,0
125538,27.36,-90,0,0,0
125537,26.64,-90,0,0,0
125536,25.92,-90,0,0,0
125535,25.2,-90,0,0,0
125534,24.48,-90,0,0,0
125533,23.76,-90,0,0,0
125532,23.04,-90,0,0,0
125531,22.32,-90,0,0,0
125530,21.6,-90,0,0,0
125529,20.88,-90,0,0,0
125528,20.16,-90,0,0,0
125527,19.44,-90,0,0,0
125526,18.72,-90,0,0,0
125525,18,-90,0,0,0
125524,17.28,-90,0,0,0
125523,16.56,-90,0,0,0
125522,15.84,-90,0,0,0
125521,15.12,-90,0,0,0
125520,14.4,-90,0,0,0
125519,13.68,-90,0,0,0
125518,12.96,-90,0,0,0
125517,12.24,-90,0,0,0
125516,11.52,-90,0,0,0
125515,10.8,-90,0,0,0
125514,10.08,-90,0,0,0
125513,9.36,-90,0,0,0
125512,8.64,-90,0,0,0
125511,7.92,-90,0,0,0
125510,7.2,-90,0,0,0
125509,6.48,-90,0,0,0
125508,5.76,-90,0,0,0
125507,5.04,-90,0,0,0
125506,4.32,-90,0,0,0
125505,3.6,-90,0,0,0
125504,2.88,-90,0,0,0
125503,2.16,-90,0,0,0
125502,1.44,-90,0,0,0
125501,0.72,-90,0,0,0
125500,-2.53E-13,-90,0,0,0
125499,-0.72,-90,0,0,0
125498,-1.44,-90,0,0,0
125497,-2.16,-90,0,0,0
125496,-2.88,-90,0,0,0
125495,-3.6,-90,0,0,0
125494,-4.32,-90,0,0,0
125493,-5.04,-90,0,0,0
125492,-5.76,-90,0,0,0
125491,-6.48,-90,0,0,0
125490,-7.2,-90,0,0,0
125489,-7.92,-90,0,0,0
125488,-8.64,-90,0,0,0
125487,-9.36,-90,0,0,0
125486,-10.08,-90,0,0,0
125485,-10.8,-90,0,0,0
125484,-11.52,-90,0,0,0
125483,-12.24,-90,0,0,0
125482,-12.96,-90,0,0,0
125481,-13.68,-90,0,0,0
125480,-14.4,-90,0,0,0
125479,-15.12,-90,0,0,0
125478,-15.84,-90,0,0,0
125477,-16.56,-90,0,0,0
125476,-17.28,-90,0,0,0
125475,-18,-90,0,0,0
125474,-18.72,-90,0,0,0
125473,-19.44,-90,0,0,0
125472,-20.16,-90,0,0,0
125471,-20.88,-90,0,0,0
125470,-21.6,-90,0,0,0
125469,-22.32,-90,0,0,0
125468,-23.04,-90,0,0,0
125467,-23.76,-90,0,0,0
125466,-24.48,-90,0,0,0
125465,-25.2,-90,0,0,0
125464,-25.92,-90,0,0,0
125463,-26.64,-90,0,0,0
125462,-27.36,-90,0,0,0
125461,-28.08,-90,0,0,0
125460,-28.8,-90,0,0,0
125459,-29.52,-90,0,0,0
125458,-30.24,-90,0,0,0
125457,-30.96,-90,0,0,0
125456,-31.68,-90,0,0,0
125455,-32.4,-90,0,0,0
125454,-33.12,-90,0,0,0
125453,-33.84,-90,0,0,0
125452,-34.56,-90,0,0,0
125451,-35.28,-90,0,0,0
125450,-36,-90,0,0,0
125449,-36.72,-90,0,0,0
125448,-37.44,-90,0,0,0
125447,-38.16,-90,0,0,0
125446,-38.88,-90,0,0,0
125445,-39.6,-90,0,0,0
125444,-40.32,-90,0,0,0
125443,-41.04,-90,0,0,0
125442,-41.76,-90,0,0,0
125441,-42.48,-90,0,0,0
125440,-43.2,-90,0,0,0
125439,-43.92,-90,0,0,0
125438,-44.64,-90,0,0,0
125437,-45.36,-90,0,0,0
125436,-46.08,-90,0,0,0
125435,-46.8,-90,0,0,0
125434,-47.52,-90,0,0,0
125433,-48.24,-90,0,0,0
125432,-48.96,-90,0,0,0
125431,-49.68,-90,0,0,0
125430,-50.4,-90,0,0,0
125429,-51.12,-90,0,0,0
125428,-51.84,-90,0,0,0
125427,-52.56,-90,0,0,0
125426,-53.28,-90,0,0,0
125425,-54,-90,0,0,0
125424,-54.72,-90,0,0,0
125423,-55.44,-90,0,0,0
125422,-56.16,-90,0,0,0
125421,-56.88,-90,0,0,0
125420,-57.6,-90,0,0,0
125419,-58.32,-90,0,0,0
125418,-59.04,-90,0,0,0
125417,-59.76,-90,0,0,0
125416,-60.48,-90,0,0,0
125415,-61.2,-90,0,0,0
125414,-61.92,-90,0,0,0
125413,-62.64,-90,0,0,0
125412,-63.36,-90,0,0,0
125411,-64.08,-90,0,0,0
125410,-64.8,-90,0,0,0
125409,-65.52,-90,0,0,0
125408,-66.24,-90,0,0,0
125407,-66.96,-90,0,0,0
125406,-67.68,-90,0,0,0
125405,-68.4,-90,0,0,0
125404,-69.12,-90,0,0,0
125403,-69.84,-90,0,0,0
125402,-70.56,-90,0,0,0
125401,-71.28,-90,0,0,0
125400,-72,-90,0,0,0
125399,-72.72,-90,0,0,0
125398,-73.44,-90,0,0,0
125397,-74.16,-90,0,0,0
125396,-74.88,-90,0,0,0
125395,-75.6,-90,0,0,0
125394,-76.32,-90,0,0,0
125393,-77.04,-90,0,0,0
125392,-77.76,-90,0,0,0
125391,-78.48,-90,0,0,0
125390,-79.2,-90,0,0,0
125389,-79.92,-90,0,0,0
125388,-80.64,-90,0,0,0
125387,-81.36,-90,0,0,0
125386,-82.08,-90,0,0,0
125385,-82.8,-90,0,0,0
125384,-83.52,-90,0,0,0
125383,-84.24,-90,0,0,0
125382,-84.96,-90,0,0,0
125381,-85.68,-90,0,0,0
125380,-86.4,-90,0,0,0
125379,-87.12,-90,0,0,0
125378,-87.84,-90,0,0,0
125377,-88.56,-90,0,0,0
125376,-89.28,-90,0,0,0
125375,-90,-90,0,0,0
125374,-90.72,-90,0,0,0
125373,-91.44,-90,0,0,0
125372,-92.16,-90,0,0,0
125371,-92.88,-90,0,0,0
125370,-93.6,-90,0,0,0
125369,-94.32,-90,0,0,0
125368,-95.04,-90,0,0,0
125367,-95.76,-90,0,0,0
125366,-96.48,-90,0,0,0
125365,-97.2,-90,0,0,0
125364,-97.92,-90,0,0,0
125363,-98.64,-90,0,0,0
125362,-99.36,-90,0,0,0
125361,-100.08,-90,0,0,0
125360,-100.8,-90,0,0,0
125359,-101.52,-90,0,0,0
125358,-102.24,-90,0,0,0
125357,-102.96,-90,0,0,0
125356,-103.68,-90,0,0,0
125355,-104.4,-90,0,0,0
125354,-105.12,-90,0,0,0
125353,-105.84,-90,0,0,0
125352,-106.56,-90,0,0,0
125351,-107.28,-90,0,0,0
125350,-108,-90,0,0,0
125349,-108.72,-90,0,0,0
125348,-109.44,-90,0,0,0
125347,-110.16,-90,0,0,0
125346,-110.88,-90,0,0,0
125345,-111.6,-90,0,0,0
125344,-112.32,-90,0,0,0
125343,-113.04,-90,0,0,0
125342,-113.76,-90,0,0,0
125341,-114.48,-90,0,0,0
125340,-115.2,-90,0,0,0
125339,-115.92,-90,0,0,0
125338,-116.64,-90,0,0,0
125337,-117.36,-90,0,0,0
125336,-118.08,-90,0,0,0
125335,-118.8,-90,0,0,0
125334,-119.52,-90,0,0,0
125333,-120.24,-90,0,0,0
