ID,y,x,origName,Country,Country_IS,pop2015,pop2020,pop2025,pop2050
Tokyo,35.68300213,139.8090067,Tokyo,Japan,JPN,36090,36370,36400,36400
Bombay,19.07700305,72.82600257,Mumbai,India,IND,20070,21950,24050,26385
Delhi,28.6666651,77.21666168,Delhi,India,IND,17020,18670,20480,22498
Dhaka,23.70991502,90.40714257,Dhaka,Bangladesh,BGD,14800,17020,19420,22015
São Paulo,-23.58099897,-46.62299646,São Paulo,Brazil,BRA,19580,20540,21120,21428
Mexico City,19.42704915,-99.12757457,Ciudad de México,Mexico,MEX,19480,20190,20700,21009
New York,40.70786413,-73.90523653,New York-Newark,United States of America,USA,19440,19970,20370,20628
Calcutta,22.54400105,88.33400168,Kolkata,India,IND,15580,17040,18710,20560
Shanghai,31.24800002,121.4730007,Shanghai,China,CHN,15790,17210,18470,19412
Karachi,24.89300105,67.02800455,Karachi,Pakistan,PAK,13050,14860,16920,19095
Kinshasa,-4.320998945,15.29900152,Kinshasa,Democratic Republic of the Congo,COD,9050,11310,13880,16762
Lagos,6.450003121,3.30000347,Lagos,Nigeria,NGA,10570,12400,14130,15796
Cairo,30.07791008,31.25079951,Al-Qahirah,Egypt,EGY,12500,13460,14450,15561
Manila,14.61670213,120.9669487,Manila,Philippines,PHL,11660,12790,13890,14808
Beijing,39.90618913,116.3880367,Beijing,China,CHN,11740,12840,13810,14545
Buenos Aires,-34.62249599,-58.44983359,Buenos Aires,Argentina,ARG,13090,13430,13650,13768
Los Angeles,34.00000204,-118.2500006,Los Angeles-Long Beach-Santa Ana,United States of America,USA,12770,13160,13460,13672
Rio de Janeiro,-22.721571,-43.45518547,Rio de Janeiro,Brazil,BRA,12170,12780,13180,13413
Jakarta,-6.166665004,106.8000037,Jakarta,Indonesia,IDN,9700,10790,11690,12363
Istanbul,41.06600105,29.00600159,Istanbul,Turkey,TUR,10530,11180,11700,12102
